Identifier,Title,Description,Lifecycle,Topic,Validation of Goal,Possible Solution,Date of Creation,Creator,Origination Institute,External,Responsibility,Req. Type,Parent Requirement,Linked Terms,Benefit of Requirement
11,📝Metadata serialization formats need to be standardized,"Make sure that metadata is stored with a standardized serialization format, so most tools and frameworks natively support parsing and serializing it",Implementation,Metadata Record,,"This means the preferred serialization formats are RDF/XML, JSON-LD, Turtle, N3 and Ntriples. Nevertheless, other standardized formats as XML, JSON, YAML and TOML are also valid and can be used.",2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"http://purl.obolibrary.org/obo/NCIT_C171252, http://edamontology.org/format_1915, https://schema.org/encodingFormat",High
12,📝 Metadata record submodules storage structure,Submodules will need to reference each other and a flat way of storage is superior if multiple submodules might reference the same submodule,Implementation,Metadata Record,,Use JSON $ref in JSON and the respective URIs in RDF based file formats,2024-10-22,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/DefinedTermSet (A submodule is a Defined Term Set that contains metadata fields relevant to the topic of the submodule), https://schema.org/inDefinedTermSet (could use this to note if a term belongs to more than one submodule), https://schema.org/citation (could use this property of a Defined Term Set to track other sets that it references)",High
13,🔧 Metadata record creation service,To ensure that the creation of metadata records can be done easily from different application contexts a service solution for the creation can be beneficial. So this service could be embedded via an application plugin. Such a service can therefore support multiple programming languages.,Implementation,Tooling,,Metadata record creation and editing as a web service.,2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,N/A,Medium
14,📜Allow interoperability between existing metadata standards,"Metadata records for our schema should be easily interoperable with other platforms that use different schemas, as it prevents re-annotation of metadata in other formats and supports data access to and from other platforms",Integration,Metadata Schema,,Schema crosswalks to the most relevant standards are helpful for federated searches and form a foundation of format conversions. Scripts shall be provided to convert from and to our schema for a selected set of standards. Evaluate formalized (semantic) formats for crosswalks and recommend one that can be integrated into existing knowledge graphs / ontologies.,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"https://www.getty.edu/publications/categories-description-works-art/metadata-standards-crosswalk/, https://www.ukoln.ac.uk/metadata/interoperability/, http://www.w3.org/2004/02/skos/core#, http://ns.inria.org/edoal/1.0/, https://faircore4eosc.eu/eosc-core-components/metadata-schema-and-crosswalk-registry-mscr",Medium
15,📜Guidelines for applications using the metadata schema,Allow developers to get going with the schema quickly with a clear set of requirements or guidelines on how to integrate and work with the metadata schema. All applications that want to work with the standard are obliged to follow these guidelines.,Integration,Metadata Schema,,Extrapolate a subset of the requirements on this page and format them on some kind of online documentation.,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,N/A,Low
16,📝 Guidelines for applications using or creating metadata records,"Allow developers to get going with the integration of metadata in their applications quickly, with a clear set of requirements or guidelines on how to integrate and work with metadata records. All applications that want to work with the standard are obliged to follow these guidelines.",Integration,Metadata Record,,Extrapolate a subset of the requirements on this page and format them on some kind of online documentation. This can further include the use of certain services or libraries for form generation etc.,2025-01-31,,,No,Measure 4.3 Team,Non-Functional,,N/A,Low
17,🔧 Metadata Integration Tools,"A unified metadata schema used by the tools shall provide capabilities that allow each tool to customize the schema within certain limits to be best suited for the given use case of the tool. For example tools should be able to define explicit rules for what metadata fields are necessary and which are optional. Also, the use of certain domain-specific metadata schemas/modules should be controllable, ensuring that relevant metadata is captured.",Integration,Tooling,,The input forms for metadata should be somehow generated. This might require inputs from the developer on what metadata modules are relevant and if certain fields should have a non-standard mandatory state. This could work best with a service that produces metadata forms that can be configured via the parameters to the endpoint,2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,"https://w3id.org/squap/SoftwareQuality/FlexibilityInUse, https://w3id.org/dco#FlexibilityService",Medium
18,🔧 Provide export capabilities,To boost compatibility and interoperability it is necessary to provide exports in a selection of well established metadata standards,Integration,Tooling,,"Use formalized crosswalks to perform a conversion to classic standards like DCT, DataCite, ...",2024-10-22,,,No,Measure 4.3 Team,Non-Functional,,"https://w3id.org/squap/SoftwareQuality/Compatibility, https://w3id.org/squap/SoftwareQuality/Interoperability",Medium
19,📜Online documentation,"Each metadata module / profile, and each individual metadata field shall have a definition and description text that is available online.",Use,Metadata Schema,,Generated documentation on GitHub pages,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"https://w3id.org/arco/ontology/context-description/Documentation, http://dev.poderopedia.com/vocab/Documentation, https://w3id.org/loin#Documentation, https://w3id.org/semsys/ns/swemls#hasDocumentation, https://w3id.org/vair#TechnicalDocumentation, http://meta.icos-cp.eu/ontologies/cpmeta/hasDocumentationUri",High
20,📜Usage guide,"The metadata schema needs to be accompanied by an online documentation or guide on how to use it properly. This shall include different user perspectives including but not limited to data owners, application developers and data registry maintainers. Also, it needs to motivate why the usage of metadata and respective standards is important.",Use,Metadata Schema,,Additional Markdown based documentation that can accompany the generated GitHub pages.,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"http://www.w3.org/ns/lemon/ontolex#usage, http://rdvocab.info/RDARelationshipsWEMI/guide, http://def.seegrid.csiro.au/isotc211/iso19115/2003/metadata#Usage, http://purl.org/olia/ubyCat.owl#usage",Medium
21,📜Visualize different use of terminology among reused / mapped schemas and ontologies,"Some terms are used differently between different standards or use different names for the same thing. The documentation shall provide a way to recognize those cases, to help users understand the differences of similar terms",Use,Metadata Schema,,"Use terminology from thesauri or SKOS to express ""similarTerms"", ""similarButDifferent"" and ""notToBeConfusedWith"" relations.",2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"http://open.vocab.org/terms/similarTo, http://vocab.deri.ie/cogs#TerminologicalMapping, http://www.w3.org/ns/lemon/vartrans#TerminologicalRelation",Medium
22,📜Schema documentation shall be understandable for users that need to fill or read metadata,"The schema documentation must provide helpful information to users without semantics or metadata background, so it should not just be focused around developers",Use,Metadata Schema,,"This is hard to measure, so for now just involve end users in the design of the documentation.",2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"http://dev.poderopedia.com/vocab/hasOtherDocumentation, https://w3id.org/arco/ontology/context-description/DocumentationType",Medium
23,📜Allow for a curated way to extend controlled vocabularies,"Strict controlled vocabularies can cause frustration for users, if they are unable to correctly express the meta information that would be best suited. Free text can sometimes describe better what a certain artifact / dataset is about, if there are no matching values in the controlled vocabulary. However, free text causes interoperability issues, so it is necessary to provide a process that allows to add new items to a controlled vocabulary in a curated way, that does not hinder the workflow of the user",Use,Metadata Schema,,"Embedding a terminology search into a metadata input form when there can be no proper choice made to find a reference in an ontology for a term. If the term from the other ontology fulfills yet to be determined characteristics it might be possible to extend the vocabulary with that term (initially for the time the form is active) and on a long run the added ""external"" terms could be curated and either accepted or revoked centrally for the schema.",2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,https://www.w3.org/TR/shacl/#InConstraintComponent,Medium
24,📝Metadata UI needs to be simple and streamlined,Don't annoy or scare users with complex forms or workflows as this will prevent them from entering data altogether. Simple and streamlined processes and UIs are key.,Use,Metadata Record,,Provide either a wizard/survey like form with multiple small pages or a dialog with a chatbot rather than a form and use modern web frameworks to build the UI.,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"https://w3id.org/mod#browsingUI, http://www.w3.org/ns/ui#style",High
25,📝Simplify linking between metadata records,For easier navigation and understanding relations between multiple (data) artifacts - it is necessary to allow linking between metadata records easily. Users are not likely to manually look up relations themselves. As a result any user interface should assist the user in finding appropriate potentially related metadata records automatically.,Use,Metadata Record,,"Search for strategies how to identify metadata records with a certain degree of similarities, such that a service can propose them to be added as a related metadata record. (Use the OEP scenario comparison as a foundation)",2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,http://purl.obolibrary.org/obo/OBI_0000800,Low
26,📝Metadata record value languages,"Ontologies do support annotation in multiple languages, so any user interface shall be allowed to present metadata in any given language as long as the formal serialization is again in the standard language. Controlled vocabularies might also provide translations for a given item.",Use,Metadata Record,,User interface code can use the respective language annotations for labels when displaying both field names and selected (controlled) values,2024-11-07,,,No,Measure 4.3 Team,Non-Functional,,"http://purl.org/linguistics/gold/Language, http://purl.org/dc/terms/language, http://schema.org/Language",Low
27,📝Metadata usage documentation shall be understandable for users that need to fill or read metadata,The workflow documentation must provide helpful information to users without data management background and shall allow everybody to get started with metadata annotation.,Use,Metadata Record,,"This is hard to measure, so for now just involve end users in the design of the documentation.",2024-11-07,,,No,Measure 4.3 Team,Non-Functional,,N/A,Medium
28,🔧 Metadata Integration Tools,"Provide a tool that supports metadata record conversion from one schema to another, enabling easy integration for tool developers, even if their existing tools are built around a different metadata schema. This tool should facilitate interoperability across multiple schemas, reducing the burden on developers to manually map terms or fields.",Use,Tooling,,"Consider using existing ontology matching tools to perform schema mapping, which can be used as foundation to automate much of the metadata record conversion process.",2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/Thing, https://schema.org/convertTo, https://schema.org/targetFormat, http://purl.org/dc/terms/conformsTo, http://purl.org/dc/terms/format, http://purl.org/dc/terms/relation, https://www.w3.org/TR/prov-o/#wasDerivedFrom, https://www.w3.org/TR/prov-o/#hadPrimarySource, https://www.w3.org/ns/dcat#mediaType, https://www.w3.org/TR/vocab-dcat-2/#Class, http://edamontology.org/format_1915, http://edamontology.org/operation_0335, http://www.w3.org/2004/02/skos/core#exactMatch, http://www.w3.org/2004/02/skos/core#closeMatch",Medium
29,📜Documentation shall clearly show the terms used from other ontologies / schemas,"Documentation should reference terms from other ontologies and schemas to maximize interoperability, providing clear links to the original sources and formal specifications. This approach ensures consistent terminology and enables seamless integration with external systems, enhancing the metadata’s usability across diverse platforms. It also increases the awareness of users about the origins of each metadata field.",Review,Metadata Schema,,Use Markdown and HTML to incorporate named links to external sources. Schema terms can be embedded as metadata tags or structured annotations where applicable.,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/about, https://schema.org/itemReviewed, https://schema.org/reviewAspect, https://schema.org/author, https://schema.org/reviewBody, https://schema.org/mentions, https://schema.org/citation",High
30,📜Metadata schema / standard needs to have a clear versioning scheme,"Implement a clear versioning scheme to ensure that each dataset is accurately linked to the correct schema version. This enables consistency, traceability, and compatibility across systems. The versioning system should include identifiers for major, minor, and patch updates. Each version should also link to release notes and modification dates where applicable. The current and all older versions must be accessible via a GUPRI.",Review,Metadata Schema,,"Use semantic versioning (e.g., MAJOR.MINOR.PATCH) and reference the used version in the metadata schema, so each record can be clearly referenced to the used version.",2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/version, https://schema.org/releaseNotes, https://schema.org/dateModified",High
31,📝Metadata serialization format validation,"Validation of metadata records improves the quality of metadata. Therefore, the used record serializations must allow for standardized validation mechanisms. Validation needs to be done in two stages (client and server) to first improve UX and second guarantee record conformance",Review,Metadata Record,,JSON schema and JSON-LD can be used in conjunction to validate input metadata records. If using other semantic formats the superior validation of SHACL can be applied. Web user interfaces often support client side validation this should be applied whenever possible.,2024-08-15,,,No,Measure 4.3 Team,Non-Functional,,"http://vocab.deri.ie/cogs#Validation, http://def.seegrid.csiro.au/isotc211/iso19115/2003/metadata#Format, http://simile.mit.edu/2003/10/ontologies/vraCore3#measurementsFormat, http://open.vocab.org/terms/json",High
32,🔧Version control shall be applied for documentation,"Apply version control to the metadata schema documentation. This will improve documentation quality, make changes to documentation traceable, and prevent losses when edits are made by multiple people.",Review,Tooling,,GitHub is a good foundation for the documentation source files and can also host the actual online documentation,2024-09-19,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/version, https://schema.org/UpdateAction",Medium
33,🔧 Metadata Versioning Tools,"Apply version control to the metadata schema. This will improve schema quality, make changes to the schema traceable, and prevent losses when edits are made by multiple people. New versions shall come with migration scripts to convert existing entries to the new version of the schema.",Review,Tooling,,"The metadata schema can be versioned using git tags, in this way, the persistent URLs of the metadata schema files will contain the respective version number. Each new release of the schema must be checked with analysis tools to avoid design flaws.",2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,"https://schema.org/version, https://schema.org/schemaVersion, https://schema.org/UpdateAction",High
34,🔧 Metadata Validation Tools,"Ensure that the metadata schema is accurate, complete, and compliant with predefined standards. This can be done, for example, through metadata schema validation tools which check that data registries can display and compare metadata, standardize mandatory fields for meaningful comparisons, and balance user experience with data comparability.",Review,Tooling,,"OBO-Foundry, OOPS!, ...",2024-09-23,,,No,Measure 4.3 Team,Non-Functional,,"http://vocab.deri.ie/cogs#Validation, https://w3id.org/vair#Validation, http://data.businessgraph.io/ontology#validationRule",Medium
